epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,23615.4,0.79409,0.62015,0.98355,0.73667,0.66585,0.70642,0.52314,0.83037,0.6391,0.94652,0.00307,0.00307,0.00307
58,24029.4,0.78946,0.62082,0.98129,0.73987,0.66761,0.70757,0.52301,0.82782,0.63437,0.94393,0.00294625,0.00294625,0.00294625
59,24444.4,0.78261,0.61349,0.97518,0.72812,0.67198,0.70914,0.52386,0.8242,0.63439,0.94174,0.0028225,0.0028225,0.0028225
60,24858.4,0.78121,0.60871,0.97345,0.7341,0.66871,0.71005,0.52312,0.82508,0.63465,0.94135,0.00269875,0.00269875,0.00269875
61,25272.8,0.77461,0.59934,0.97261,0.74216,0.66724,0.71195,0.52547,0.82463,0.63326,0.94103,0.002575,0.002575,0.002575
62,25686.5,0.77578,0.60064,0.97097,0.74285,0.66675,0.71227,0.52705,0.82142,0.63188,0.93795,0.00245125,0.00245125,0.00245125
63,26099.6,0.7692,0.59245,0.96931,0.74253,0.66744,0.71122,0.52785,0.82103,0.63017,0.93607,0.0023275,0.0023275,0.0023275
64,26513.3,0.75694,0.58379,0.965,0.73811,0.67086,0.71107,0.52802,0.8211,0.63077,0.93687,0.00220375,0.00220375,0.00220375
65,26927.4,0.7557,0.58258,0.96389,0.74464,0.66518,0.71202,0.52998,0.81869,0.62976,0.93652,0.00208,0.00208,0.00208
66,27340.3,0.75347,0.57483,0.96263,0.74571,0.66443,0.71067,0.5301,0.81869,0.62985,0.9371,0.00195625,0.00195625,0.00195625
67,27753.2,0.75014,0.5721,0.96236,0.73624,0.67521,0.71172,0.53082,0.81685,0.63089,0.9364,0.0018325,0.0018325,0.0018325
68,28167.9,0.74583,0.56679,0.95704,0.73828,0.67761,0.7117,0.53223,0.81563,0.62955,0.93544,0.00170875,0.00170875,0.00170875
69,28583.7,0.74555,0.56177,0.95723,0.73479,0.6763,0.71119,0.53181,inf,0.62799,0.93482,0.001585,0.001585,0.001585
70,28999.1,0.73603,0.55826,0.95481,0.76178,0.65621,0.71113,0.53142,0.81462,0.62681,0.93539,0.00146125,0.00146125,0.00146125
71,29410.2,0.7421,0.53162,0.93869,0.7486,0.66378,0.70984,0.53027,0.81634,0.62838,0.93736,0.0013375,0.0013375,0.0013375
72,29825.8,0.72882,0.51873,0.93141,0.74041,0.66858,0.70865,0.53103,0.81635,0.62925,0.93784,0.00121375,0.00121375,0.00121375
73,30240,0.72412,0.51016,0.92967,0.72948,0.67708,0.7092,0.53187,0.81611,0.62988,0.93858,0.00109,0.00109,0.00109
74,30652.4,0.71771,0.50475,0.92361,0.74639,0.66536,0.70958,0.53261,0.81576,0.63003,0.93862,0.00096625,0.00096625,0.00096625
75,31063,0.7126,0.49985,0.92175,0.74366,0.66855,0.70958,0.53305,0.81557,0.62991,0.93768,0.0008425,0.0008425,0.0008425
76,31475.3,0.70724,0.49409,0.91785,0.7455,0.66607,0.70853,0.53282,0.81464,0.62957,0.93669,0.00071875,0.00071875,0.00071875
77,31886.3,0.70122,0.48864,0.91694,0.7514,0.66344,0.70912,0.53361,0.81338,0.63024,0.93648,0.000595,0.000595,0.000595
78,32300.3,0.69986,0.48652,0.91782,0.75358,0.66271,0.70929,0.534,0.81271,0.63069,0.93572,0.00047125,0.00047125,0.00047125
79,32715.5,0.69409,0.48204,0.9129,0.75261,0.66579,0.7102,0.53395,0.81286,0.6312,0.93523,0.0003475,0.0003475,0.0003475
80,33128.7,0.68864,0.47486,0.91046,0.75541,0.66459,0.71008,0.5344,0.81251,0.63185,0.93497,0.00022375,0.00022375,0.00022375
