epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.478,1.20485,1.63437,1.20455,0.56716,0.51553,0.519,0.32788,1.06774,1.0869,1.09433,0.00332789,0.00332789,0.00332789
2,831.688,1.13095,1.15592,1.15298,0.58472,0.50111,0.5164,0.31847,1.13092,1.10268,1.13132,0.00657879,0.00657879,0.00657879
3,1247.89,1.20906,1.2098,1.18794,0.55041,0.44782,0.45964,0.27151,1.26392,1.26013,1.20819,0.00974719,0.00974719,0.00974719
4,1663.24,1.27179,1.26027,1.22321,0.55362,0.44435,0.46387,0.27952,1.24955,1.20795,1.19377,0.00962875,0.00962875,0.00962875
5,2078.33,1.23681,1.20901,1.21167,0.59063,0.48714,0.50318,0.30664,1.20273,1.11,1.16908,0.009505,0.009505,0.009505
6,2493.2,1.20841,1.15532,1.19618,0.59134,0.49459,0.51261,0.31336,1.17559,1.06719,1.14935,0.00938125,0.00938125,0.00938125
7,2909.19,1.18465,1.11756,1.18626,0.59166,0.51547,0.53532,0.3348,1.14053,1.01663,1.12797,0.0092575,0.0092575,0.0092575
8,3324.12,1.1605,1.0803,1.17349,0.59542,0.51542,0.53987,0.34221,1.11945,0.99638,1.12728,0.00913375,0.00913375,0.00913375
9,3742.18,1.13634,1.04716,1.15783,0.60506,0.53055,0.55399,0.35636,1.1006,0.96713,1.10752,0.00901,0.00901,0.00901
10,4156.57,1.12151,1.0353,1.15439,0.62751,0.54368,0.56502,0.36633,1.06636,0.94891,1.09451,0.00888625,0.00888625,0.00888625
11,4571.52,1.10456,1.00438,1.14117,0.61079,0.55334,0.57223,0.36861,1.06976,0.92224,1.09901,0.0087625,0.0087625,0.0087625
12,4985.17,1.09473,0.98864,1.13478,0.63698,0.55469,0.58151,0.38064,1.05056,0.91296,1.0785,0.00863875,0.00863875,0.00863875
13,5398.21,1.07436,0.96643,1.12773,0.64575,0.56968,0.5912,0.38572,1.04182,0.88988,1.07883,0.008515,0.008515,0.008515
14,5811.42,1.06394,0.94821,1.1265,0.65919,0.55573,0.59606,0.39429,1.04045,0.88839,1.08435,0.00839125,0.00839125,0.00839125
15,6224.35,1.04642,0.9285,1.11577,0.6519,0.56617,0.60093,0.39862,1.02227,0.87847,1.06774,0.0082675,0.0082675,0.0082675
16,6638.81,1.0432,0.92604,1.11468,0.63766,0.55983,0.59066,0.39212,1.01853,0.89467,1.07049,0.00814375,0.00814375,0.00814375
17,7052.62,1.03528,0.90803,1.1084,0.65891,0.58507,0.61685,0.41417,1.00026,0.84022,1.05341,0.00802,0.00802,0.00802
18,7465.8,1.01924,0.8938,1.10243,0.65962,0.58461,0.61864,0.41724,0.98737,0.83825,1.04062,0.00789625,0.00789625,0.00789625
19,7879.06,1.01957,0.88419,1.09898,0.66425,0.58515,0.62343,0.42541,0.976,0.82822,1.03572,0.0077725,0.0077725,0.0077725
20,8292.73,1.00022,0.86579,1.08717,0.66041,0.59613,0.62313,0.42645,0.96919,0.81787,1.0349,0.00764875,0.00764875,0.00764875
21,8705.13,1.00166,0.8655,1.08692,0.67023,0.60662,0.63962,0.43945,0.95834,0.8017,1.02446,0.007525,0.007525,0.007525
22,9118.31,0.98766,0.84833,1.08088,0.67698,0.59744,0.63775,0.43681,0.96089,0.802,1.02738,0.00740125,0.00740125,0.00740125
23,9532.65,0.97925,0.84109,1.07844,0.68977,0.59361,0.63767,0.43816,0.95468,0.7936,1.02631,0.0072775,0.0072775,0.0072775
24,9948.03,0.97616,0.83272,1.07464,0.69479,0.60739,0.64794,0.44853,0.947,0.77653,1.0173,0.00715375,0.00715375,0.00715375
25,10362.1,0.96945,0.82918,1.07174,0.70254,0.60018,0.64867,0.45076,0.9353,0.76505,1.0157,0.00703,0.00703,0.00703
26,10776.1,0.95957,0.82168,1.07329,0.69161,0.6056,0.64428,0.44504,0.93748,0.77447,1.01695,0.00690625,0.00690625,0.00690625
27,11191.1,0.95142,0.80412,1.06732,0.69514,0.61487,0.65202,0.45362,0.92845,0.7687,1.00887,0.0067825,0.0067825,0.0067825
28,11605,0.94278,0.80147,1.0605,0.69719,0.61841,0.65877,0.45921,0.92074,0.75225,1.00008,0.00665875,0.00665875,0.00665875
29,12019.2,0.94183,0.79313,1.0604,0.70715,0.61238,0.66037,0.45959,0.91738,0.7479,1.00248,0.006535,0.006535,0.006535
30,12433.4,0.93425,0.7874,1.05547,0.70257,0.62878,0.66601,0.46775,0.91848,0.74055,1.00446,0.00641125,0.00641125,0.00641125
31,12847.1,0.92993,0.78052,1.05187,0.68711,0.63003,0.66804,0.47004,0.91101,0.73631,0.99931,0.0062875,0.0062875,0.0062875
32,13261.5,0.91752,0.7691,1.0476,0.71197,0.62908,0.66693,0.47167,0.90162,0.72791,0.99071,0.00616375,0.00616375,0.00616375
33,13676.7,0.91456,0.75855,1.04229,0.71956,0.62704,0.67367,0.47542,0.9026,0.72442,0.99113,0.00604,0.00604,0.00604
34,14090.7,0.9141,0.75559,1.04249,0.68946,0.64803,0.67879,0.48145,0.8963,0.71268,0.98803,0.00591625,0.00591625,0.00591625
35,14506,0.89933,0.74666,1.03845,0.7002,0.63514,0.67724,0.47974,0.89256,0.71402,0.98189,0.0057925,0.0057925,0.0057925
36,14919.9,0.89764,0.74126,1.03414,0.72018,0.62641,0.68185,0.48494,0.88894,0.70639,0.98333,0.00566875,0.00566875,0.00566875
37,15333,0.89776,0.7375,1.0372,0.69994,0.63803,0.68112,0.48691,0.88845,0.70474,0.98401,0.005545,0.005545,0.005545
38,15747.3,0.887,0.7281,1.02898,0.70774,0.63908,0.68193,0.48979,0.88002,0.69977,0.9771,0.00542125,0.00542125,0.00542125
39,16160.8,0.88226,0.72524,1.02905,0.72223,0.63967,0.68535,0.49164,0.87381,0.6937,0.97337,0.0052975,0.0052975,0.0052975
40,16575.6,0.87587,0.71503,1.02503,0.70373,0.64998,0.68595,0.49357,0.87332,0.69277,0.97706,0.00517375,0.00517375,0.00517375
41,16988.7,0.86827,0.71028,1.02316,0.69767,0.65011,0.68629,0.49391,0.86861,0.68786,0.97203,0.00505,0.00505,0.00505
42,17401.7,0.87293,0.70444,1.02034,0.73426,0.63012,0.69023,0.49986,0.86315,0.67972,0.96534,0.00492625,0.00492625,0.00492625
43,17816.3,0.86021,0.69834,1.0125,0.71501,0.65455,0.69634,0.50379,0.85874,0.67277,0.96062,0.0048025,0.0048025,0.0048025
44,18228.7,0.85601,0.69312,1.01253,0.70258,0.65627,0.69072,0.50137,0.85859,0.67454,0.96164,0.00467875,0.00467875,0.00467875
45,18641.7,0.85224,0.68825,1.00815,0.72099,0.65602,0.69512,0.50499,0.85414,0.6677,0.96125,0.004555,0.004555,0.004555
46,19056.7,0.84991,0.68636,1.00837,0.71789,0.6621,0.69676,0.5064,0.85555,0.66526,0.96198,0.00443125,0.00443125,0.00443125
47,19471.4,0.84488,0.68299,1.00929,0.72136,0.6584,0.69839,0.50698,0.85289,0.66191,0.95943,0.0043075,0.0043075,0.0043075
48,19885.8,0.83985,0.67595,1.00414,0.72528,0.66816,0.70048,0.50813,0.85073,0.66069,0.95755,0.00418375,0.00418375,0.00418375
49,20300.4,0.82893,0.66436,1.0006,0.72353,0.66794,0.70051,0.50995,0.85025,0.65633,0.95782,0.00406,0.00406,0.00406
50,20714.9,0.82973,0.66386,0.99889,0.73039,0.66167,0.70211,0.51299,0.84217,0.6541,0.95063,0.00393625,0.00393625,0.00393625
51,21129.8,0.82666,0.65523,0.99699,0.72765,0.66869,0.70223,0.51318,0.83845,0.65109,0.94955,0.0038125,0.0038125,0.0038125
52,21544.4,0.82106,0.65217,0.99424,0.72501,0.66519,0.70283,0.51559,0.83624,0.64763,0.94857,0.00368875,0.00368875,0.00368875
53,21957.7,0.81729,0.64107,0.99128,0.73309,0.66502,0.70406,0.51584,0.83617,0.64909,0.94825,0.003565,0.003565,0.003565
54,22371.9,0.80343,0.63515,0.98757,0.74468,0.65938,0.70548,0.51822,0.83685,0.64779,0.94964,0.00344125,0.00344125,0.00344125
55,22786.4,0.80322,0.63344,0.98434,0.71889,0.66826,0.70253,0.51865,0.835,0.64589,0.94899,0.0033175,0.0033175,0.0033175
56,23201.3,0.80088,0.63078,0.98526,0.73466,0.66252,0.7063,0.52149,0.83295,0.64187,0.9494,0.00319375,0.00319375,0.00319375
